"","gen","BRCA","COADREAD","GBM","GBMLGG","HNSC","KIPAN","KIRC","LGG","LUAD","LUSC","OV","STES","THCA","UCEC","n_significance"
"1","PCDH11X",0.899014,1e-06,0.019039,1e-06,0.354059,0.497567,0.005839,0,0,0.829215,0,0.230341,0.790682,0.039547,8
"2","YLPM1",0.139201,0.004303,0.002283,3.3e-05,0.030284,0.773696,0.426601,NA,0,0.023872,0,0.306816,0.909784,0.047132,8
"3","ALS2CR11",0.376972,0.790304,0,0,0.95521,0,0,NA,0,0.796545,0,0.693214,NA,0.04973,7
"4","ARHGAP20",0.016252,0,0.004107,8.3e-05,0.777195,0.571352,0.33063,NA,0,0.575988,0,0.778925,NA,0.042297,7
"5","CACNA1F",0.15794,0.434014,0,0.00691,0.006325,0.790399,0.976655,0.011144,0,0.5025,0,0.38472,NA,0.039123,7
"6","DEPDC5",0.383867,0.012752,0.971108,0.170541,0.025629,0.270925,0.334703,0,0,0.02689,0,0.40949,1,0.043131,7
"7","MAP7D2",0.457158,0.006133,1,0.033389,0.208035,0.51915,0.471839,0,0,0.724599,0,0,0.52378,0.048803,7
"8","NBEAL1",8e-06,0.004853,0.031922,0.036029,0.529242,0.044576,0.095441,0.82297,0.335044,0.336842,0,0.268903,NA,0.029816,7
"9","ADAM7",0.349767,0.046533,0.327718,0.004134,0.660566,0.82214,NA,0,0,0.847473,0,0.725426,NA,0.038519,6
"10","ALG13",0.643296,0.915931,0.579216,0.713631,0.01142,4.1e-05,0.000582,0.748778,0,0.478849,0,0.889146,0.824343,0.043503,6
"11","ATRNL1",0.002895,0,0.418665,0.044561,0.92723,0.822716,0.78424,NA,0.666458,0.030279,0.040233,0.005272,NA,0.162026,6
"12","CDK5RAP2",0.708918,1.8e-05,0.761886,0.761088,0.255883,0.013441,0.036317,0.808868,0,0.552222,0,0.266205,NA,0.038344,6
"13","CLASP1",0.53144,0,0.251241,0.007987,0.063154,0.412257,0.727463,1e-06,0,0.675928,0,0.392888,0.907185,0.037597,6
"14","COL6A6",0.534302,3.4e-05,0.08107,0.002943,0.876101,0.009857,0.042464,NA,0.659362,0.681866,0,0.352215,0.797916,0.029771,6
"15","DIAPH2",0.163441,0.189185,0.886788,0.968262,0.009324,0.005679,0.024955,0.508821,0.488557,0.92285,0,0.046059,NA,0.027322,6
"16","DNHD1",0.278972,0.389492,0.051838,0.000383,0.950644,0.295637,0.006106,0,0.872417,0.888227,0,0.092357,0.000288,0.02574,6
"17","DOCK11",0.529896,0.08062,0.681781,0.817252,0.944497,0.00538,0.01171,0.771275,0,0.019192,0,0.616702,0.907185,0.040582,6
"18","EGFR",0.463582,0.000233,0.595591,0,0.132085,0.008238,0.033005,0,0.003966,0.966616,0.430919,0.985782,NA,0.154259,6
"19","HYDIN",0.583834,0,0.00984,1.8e-05,0.448649,0.716381,0.803158,NA,0.599108,0.027244,0.933482,0.394503,0.001494,0.000857,6
"20","MXRA5",0.139329,0.181411,0.275279,0.023646,0.900232,0.442649,0.552723,0.042503,0,0.014052,0,0.357774,1,0.04086,6
"21","NID1",0.012629,0.041368,0.007345,0.101505,0.396835,0.002276,0.182226,0.87435,0.142054,0.500659,0,0.145311,NA,0.027059,6
"22","NOS1",0.52411,0.603424,0.390755,0.079809,0.309698,0.001957,0.012147,0.00448,0,0.787862,0,0.734145,1,0.047513,6
"23","ODZ3",0.315327,1e-06,0.237299,0.005855,0.697768,0.000707,0.005735,NA,0.868651,0.527921,0.001392,0.17251,NA,0.002667,6
"24","PIK3CG",0.516494,0.57242,0.701158,0.068082,0.194252,0.001525,0.004347,0.771713,0,0.047943,0,0.170394,0.74671,0.04571,6
"25","PKD1L2",0.496265,0.001694,0.848739,0.160801,0.308165,0.000322,0.014002,0.000537,0.140524,0.674698,0.028912,0.09015,0.897791,0.018316,6
"26","RELN",0.688707,0.002353,0.165696,0.015478,0.573331,4.6e-05,0.001027,0.601838,0.488777,0.000231,0.614769,0.428523,0.936243,0.004048,6
"27","SCN9A",0.247325,0,0.046448,9.6e-05,0.690903,0.947724,0.805175,NA,0.037644,0.373261,0,0.716631,0.936243,0.032014,6
"28","SLITRK4",0.035006,0.00183,0.397182,0.752987,0.209342,0.448076,0.424532,0.50909,0,0.772892,0,0.013208,NA,0.04175,6
"29","STXBP5L",0.72187,0.015347,0.092809,0.002044,0.264597,0.380369,0.281769,0.000852,0.784659,0.024546,0,0.833986,0.870798,0.027022,6
"30","TRPS1",0.561512,0.239957,0.007349,4.4e-05,0.468582,0.923021,NA,NA,0,0.835689,0,0.522121,0,0.048364,6
"31","ABCA1",0.597344,0,0.560374,0.841556,0.032069,0.72851,0.860619,0.76041,0,0.695674,0,0.252439,1,0.042025,5
"32","ABCA5",0.63631,0,0.605087,0.126429,2e-06,0.920993,0.319392,NA,0,0.88302,0,0.421282,0.762245,0.04499,5
"33","ADCY9",0.873912,0.677258,0.199281,0.049466,0.027436,0.468915,0.169282,0.782943,0,0.182729,0,0.92814,0.879568,0.048783,5
"34","AHNAK2",0.537102,0.000243,0.873199,0.009857,0.17,0.462734,0.821279,3e-06,0.011874,0.225775,0.295721,0.10592,0.872277,0.011799,5
"35","ANO2",0.488897,0.01165,1.1e-05,0.145742,0.308808,0.42628,0.567986,0.403644,0,0.241535,0,0.354697,1,0.041439,5
"36","ANO4",0.227166,0.505936,0.279888,0.964597,0.465107,0.019853,0.048365,0.225079,0.895844,0.046861,0,0.135329,0.957126,0.029191,5
"37","CACNA1G",0.786885,0.007612,0.678992,0.752364,0.000164,0.565715,0.715693,0.173227,0,0.180976,0,0.207149,0.48799,0.038452,5
"38","CARD6",0.29903,0.660487,0.001782,0.000171,0.265293,0.106719,0.123781,0.76041,0,0.794349,0,0.530988,1,0.049805,5
"39","CIT",0.435697,0.601483,0.643782,0.847719,0.00365,0.423828,0.38314,0.605565,0.880175,0.040125,0.099442,0.006138,0,0.017892,5
"40","DMXL1",0.363354,0.189928,0.362249,0.064234,0.114375,0.863387,0.551709,0.000257,0,0.370464,0,0.789361,0,0.047403,5
"41","DNAH2",0.267297,0.000478,0.202998,0.011505,0.34041,0.021424,0.163133,0.732843,0.581773,0.656085,0.253038,0.015207,0.481445,0.00034,5
"42","ENPP2",0.016598,0.155047,0.906455,0.806072,0.009898,0.530896,0.398613,0.770237,0,0.111939,0,0.818693,0.92315,0.048232,5
"43","ERBB4",0.318339,0.000823,NA,0.329406,0.493993,0.724079,0.851092,0.646242,0,0.05971,0,0.854887,7e-06,0.038778,5
"44","F8",0.139521,0,0.701981,0.152615,0.638589,0.017888,0.00338,0.04438,0.550096,0.093267,0.669804,0.500609,0.57457,0.021637,5
"45","FANCM",0.57145,0.000125,0.966085,0.438029,0.759787,0.515907,0.582052,0.732998,0.954726,0.027653,0,0.400317,0.024914,0.029609,5
"46","FAT3",0.000876,0,0.019487,0.007353,0.342887,0.621152,0.190635,0.55197,0.201263,0.006834,0.152128,0.456498,0.900087,0.132296,5
"47","FAT4",0.839541,1e-06,0.002164,0.003832,0.31491,0.805489,0.994758,0.039364,0.410332,0.44493,0.163148,0.215115,NA,0.000383,5
"48","FLNB",0.465881,0.000469,0.843435,0.639275,0.886883,0.280348,0.003723,0.371512,0,0.564529,0,0.345662,NA,0.048915,5
"49","GPR112",0.445528,1e-06,0.694477,0.022407,0.009493,0.665765,0.849341,0,0.178075,0.607569,0.546767,0.335058,0.909929,0.000139,5
"50","GPR98",0.808289,1e-06,0.150093,0.01241,0.477505,0.608852,0.958236,0.105602,0.029388,0.171214,0.931417,0.702481,0.047926,0.009043,5
"51","IGSF10",0.263289,0,0.00259,0.993878,0.26146,0.774724,0.857,0.668798,0,0.451909,0,0.441209,1,0.041409,5
"52","LRP1",0.948592,0.608347,0.564085,0.532932,0.834045,0.891821,0.457382,0.512905,0,0.000546,0,0.422969,0,0.043165,5
"53","LYST",0.03918,0.025361,0.909731,0.024708,0.649648,0.267043,0.37394,0,0.136096,0.357957,0.589395,0.061402,1,0.007978,5
"54","MCF2L2",0.476475,0.006003,1.1e-05,0,0.219699,0.923411,0.181077,NA,0.551211,0.832743,0,0.088286,0.92315,0.034302,5
"55","MED13",0.84102,0.770562,2e-06,0,0.365151,0.936151,0.908035,0,0.104559,0.162157,0,0.686061,0.939396,0.029889,5
"56","MON2",0.786471,0.769157,0.003683,0.677478,0.280313,0.620762,0.129732,0.50388,0,0.016995,0,0.261861,1,0.042021,5
"57","MSH6",0.632064,2e-06,0.25298,0.027705,0.328186,0.368755,0.226227,NA,0,0.476732,0,0.251014,NA,0.038308,5
"58","MYH7",0.871741,0.000164,0.003272,1.8e-05,0.996215,0.248311,0.854154,NA,0.545006,0.232913,0.7707,0.983424,3e-06,0.017296,5
"59","MYO15A",0.69446,0.803253,0.220344,0.038217,0.000525,0.208995,0.407774,0.124499,0,0.623079,0,0.341182,0.776105,0.03941,5
"60","ODZ2",0.20336,0,0.409736,0.029449,0.518498,0.053662,0.17384,NA,0.041577,0.000769,0.799487,0.061857,0.322725,0.026632,5
"61","ODZ4",0.023823,0.000552,0.500425,0.041208,0.593117,0.01836,0.058795,NA,0.720688,0.557776,0.412932,0.202067,1,0.009388,5
"62","PAPPA",0.431235,0.844526,0.672354,0.80261,0.656293,0.004441,8e-06,0.691006,0,0.527289,0,0.056376,NA,0.045414,5
"63","PCDHB5",0.577652,1.4e-05,0.432769,0.032002,0.754393,0.007278,0.555086,0.817252,0.12456,0.274268,0,0.506034,0.86226,0.035471,5
"64","PKHD1",0.076409,6e-06,0.514733,0.003575,0.269112,0.539124,0.184398,3e-06,0.446355,0.01808,0.066967,0.909865,0.508413,0.010005,5
"65","PKHD1L1",0.59449,0.008661,0.748027,0.556095,0.514424,0.034068,0.027095,0.942532,0.859405,0.113546,0.286455,0.421316,0.01027,0.005886,5
"66","PLCG2",0.317502,0,0.005103,0.023481,0.528946,0.163222,0.195064,0.359483,0.743337,0.481238,0,0.101684,NA,0.024993,5
"67","SCAPER",0.507959,0,0.668488,0.82918,0.415918,0.134825,0.029645,NA,0,0.58195,0,0.970456,NA,0.037362,5
"68","SLC9A10",NA,0.618653,0.000217,0,0.750155,0.953176,0.950398,NA,0,0.411364,0,0.486788,NA,0.037687,5
"69","STAG2",0.297196,0.128639,0.002007,0.006661,0.534965,0.990273,0.918846,0.471569,0,0.790873,0,0.888499,0.857103,0.047999,5
"70","SULF1",0.00207,0.152406,0.820873,0.155246,0.461419,0.121388,0.230855,NA,0,0.031915,0,0.538881,NA,0.04998,5
"71","TNRC6A",0.858883,0.000145,0.651056,0.045197,0.579457,0.63895,0.86025,0.594571,0,0.542121,0,0.723475,NA,0.038216,5
"72","TP53",0.042587,0.07978,0.841929,1e-06,2.4e-05,0.751907,0.002653,0.645525,0.028442,0.7568,0.780165,0.657189,0.605063,0.565362,5
"73","TRANK1",0.27614,0,6e-06,0.043989,0.019205,0.456934,0.722381,0.771001,0.401597,0.360654,0.825464,0.026896,0.795761,0.075521,5
"74","TRIP12",0.952575,0.002063,0.893248,0.527878,0.684531,0.784949,0.266112,0.457781,0,0.010143,0,0.670514,0.936243,0.048898,5
"75","ZNF709",1,4e-06,0.892358,0.68924,0.844126,0.434076,0.315414,NA,0,0.577159,0,0.277065,0.026869,0.041302,5
"76","A2M",0.83499,0,0.456098,0.937051,0.54058,0.903236,0.303089,0.799289,0,0.901002,0,0.438185,1,0.038206,4
"77","ABCA8",0.475097,1.9e-05,0.298786,0.075867,0.715687,0.408862,0.680009,0.376712,0.938362,0.047249,0.044284,0.106286,NA,0.021777,4
"78","ABCC8",0.435909,0.572343,0.759817,0.815618,0.867914,0.399505,0.591669,NA,0.756759,0.041562,0,0.035144,0,0.125531,4
"79","ADAM6",0.951678,0.049757,0.763266,0.199767,NA,0.030718,0.00742,NA,0.014788,0.252829,NA,0.104965,NA,NA,4
"80","ADAMTS3",0.394932,0.587294,0.282048,0.883563,0.099744,0.824349,0.605646,1e-05,0.615916,0.608168,0,0.01492,0.907185,0.026686,4
"81","APC",0.710273,1.4e-05,0.929592,0.267869,0.326264,0.003174,0.142973,0.002112,0.120037,0.199964,0.527184,0.562956,0.67227,0.002842,4
"82","ARFGEF1",0.10917,0,0.342011,0.060087,0.364241,0.695131,0.797475,NA,0,0.834042,0,0.300715,NA,0.043001,4
"83","ARFGEF2",0.562435,0.014289,0.276899,0.323621,0.805576,0.00041,3e-06,0.813553,0.303183,0.174787,0.356833,0.333274,0.677884,0.018227,4
"84","ARHGAP31",0.26137,0,NA,0.43553,0.43279,0.412485,0.271971,0.737133,0,0.177727,0,0.413066,NA,0.039236,4
"85","ASXL3",0.673932,0.015019,0.327524,0.217717,0.551714,0.047814,0.034795,0.621005,0.395389,0.345704,0.44669,0.185358,NA,0.010555,4
"86","ATM",0.313494,0.000375,0.834994,0.309786,0.502815,0.614141,0.500041,NA,0.677371,0.128124,0.011209,0.018206,0.760029,0.001757,4
"87","ATP8A2",0.680275,0.044211,0.966675,0.220787,0.850508,0.888454,0.913254,0.004488,0.044047,0.437873,0.664591,0.070949,NA,0.017048,4
"88","ATRX",0.119595,0.514222,0.027937,0,0.005286,0.735183,0.439193,0.327042,0.62932,0.170796,0.20106,0.675479,0.817488,0.004319,4
"89","BIRC6",0.470551,2e-05,0.000995,2e-06,0.070099,0.905227,0.587393,NA,0.087468,0.91196,0.0945,0.397281,0.936243,0.00046,4
"90","BRDT",0.068503,0.01547,0.673116,0.650522,0.915628,0.395122,0.338112,NA,0,0.316728,0,0.639738,0.936243,0.04185,4
"91","BSN",0.466092,0.062197,0.037524,0.104401,0.096038,0.39976,0.296722,0.62027,0,0.068758,0,0.753712,0.642127,0.045846,4
"92","C15orf2",NA,0.04829,0.023415,0.000135,0.031178,NA,NA,NA,0.415719,0.100874,0.477495,0.143247,0.936243,0.138377,4
"93","CACNA1E",0.177865,0,0.118756,0.721906,0.265681,0.091439,0.020551,0.000193,0.628556,0.070695,0.837659,0.856739,0.52378,0.013113,4
"94","CCDC73",0.483996,0.01165,NA,NA,0.801791,0.228017,0.499414,NA,0,0.589388,0,0.752796,NA,0.040155,4
"95","CDH8",0.001482,0.100921,0.593535,0.744936,0.249825,0.006607,0.032747,0.83324,0.384316,0.755091,0.624403,0.643081,0.130758,0.016365,4
"96","CELSR2",0.657479,0.006356,0.282991,0.349371,0.644092,0.274108,0.396679,0.757824,0,0.161801,0,0.423732,NA,0.037583,4
"97","CENPE",0.399489,0.096952,0.373351,0.036973,0.001674,0.42471,0.446207,NA,0.355169,0.306651,0,0.896279,NA,0.032589,4
"98","CENPF",0.819523,4e-06,0.884118,0.56594,1e-04,0.948403,0.823757,0.843016,0.938215,0.04252,0.964823,0.82638,0.880708,0.002423,4
"99","CEP170",0.166864,0.180985,0.094606,0.013343,0.279541,0.850502,0.853857,NA,0,0.24544,0,0.414516,NA,0.046713,4
"100","COL19A1",0.441941,0.794414,0.919848,0.415513,0.111748,0.543192,0.125038,0.067758,0,0.011033,0,0.132678,0.770519,0.038297,4
"101","COL6A5",0.789306,0.006761,NA,NA,NA,0.362642,0.673048,NA,0,NA,0,0.679934,NA,0.044606,4
"102","CSMD1",0.279836,0,0.721589,0.140667,0.257433,0.599074,0.9033,NA,0.561947,0.029286,0.307182,0.939121,0.000142,0.000842,4
"103","CYLC1",0.656538,0.395637,0.017955,0.075803,0.298626,0.76301,0.606589,0.782434,0,0.278319,0,0.233024,NA,0.049524,4
"104","DCHS2",0.858587,0.0019,0.072756,0.020422,0.566844,0.038955,0.551338,0.662387,0.572835,0.060706,0.839289,0.374028,NA,0.001455,4
"105","DMD",0.056024,0.017752,0.077923,0.017498,0.025971,0.596184,0.288302,0.084708,0.299407,0.131601,0.892747,0.28027,0.957126,0.041475,4
"106","DNAH5",0.16709,0.000755,0.165129,0.048376,0.067569,0.816527,0.228365,0.929927,0.117065,0.348092,0.022223,0.423421,0.889448,0.002442,4
"107","DNAH8",0.749033,0.001647,0.029864,0.066149,0.485786,0.422612,0.764732,0.049444,0.787553,0.55719,0.275963,0.179637,0.838026,0.000696,4
"108","DOPEY1",0.415964,0,0.57895,0.861048,0.989189,0.588283,0.44081,0.82297,5.5e-05,0.876963,0,0.84143,NA,0.023932,4
"109","DSEL",0.800225,0.026059,0.366788,0.134427,0.362334,0.306743,0.542849,NA,0.928782,0.000124,0.340513,0.001386,NA,0.016835,4
"110","DUSP27",0.297863,0.763317,0.559255,0.369207,0.728121,0.068058,0.280018,0.539562,0,0.01287,0,0.095199,0.936243,0.046287,4
"111","DYNC2H1",0.159901,0.006468,0.768857,0.631601,0.364135,0.310464,0.617724,0.021508,0.549983,0.596386,0.482818,0.745208,0.000102,0.002305,4
"112","EPHA5",4e-06,0.442093,0.031716,0.025128,0.624705,0.279988,0.507754,0.085871,0.192173,0.233941,0.46143,0.543678,NA,0.021244,4
"113","FAM135A",0.732916,0.799667,NA,NA,0.07293,0.000901,0.00235,NA,0.740101,0.706977,0,0.835669,NA,0.032301,4
"114","FLG",0.715302,0,0.577815,0.00016,0.037448,0.273874,0.736628,3e-06,0.187355,0.435743,0.541139,0.078183,0.936243,0.149187,4
"115","FNDC1",0.686646,0.001977,0.264555,0.001222,0.678642,0.204917,0.309749,0,0.904597,0.222108,0.428497,0.896928,NA,0.016496,4
"116","FREM1",0.545126,0.073005,0.001759,2.1e-05,0.942325,0.538273,0.649343,0.915706,0.17752,0.529456,0,0.805412,0.936243,0.03026,4
"117","FSIP2",0.015771,9e-06,NA,0.717481,NA,0.521908,0.915381,0.906321,NA,NA,0,0.694621,1,0.024798,4
"118","GPR179",0.79469,0.068267,0,0,0.117135,0.944479,0.331668,NA,0.952213,0.256484,0,0.68782,0.629158,0.034826,4
"119","GPRASP1",0.000311,0.772148,NA,0.759948,0.628981,0.042487,0.96534,0.915706,0.805962,0.10567,0,0.62333,1,0.03593,4
"120","HECW2",0.099278,8.1e-05,0.294123,0.294374,0.796697,0.401395,0.502225,0.76041,0.016319,0.207735,0,0.675061,NA,0.026121,4
"121","HEPH",0.438664,0.002033,0.347918,0.182188,0.292276,0.346308,0.41205,0.616656,0.157974,0.02475,0,0.451536,NA,0.029458,4
"122","HMCN1",0.04163,0.122282,0.087489,0.020986,0.804349,0.099416,0.202331,0.603406,0.493152,0.582483,0.038687,0.155198,0.887443,0.001164,4
"123","HRNR",0.13387,0.000131,0.790652,0.555416,0.586046,0.121441,0.410673,0.689864,0,0.079936,0,0.393289,0.909784,0.043539,4
"124","IGF2R",0.489312,0.33316,0.424056,0.537139,0.03983,0.466466,0.32139,0.858687,0.630875,0.886599,0,0.942646,0.004907,0.033952,4
"125","ITPR2",0.000958,0.000511,0.600844,0.294043,0.489799,0.688012,0.669021,0.695786,0.479626,0.026971,0.589113,0.325465,0.07549,0.01302,4
"126","KCNT2",0.540554,0.198657,0.854679,0.436565,0.195879,0.529473,0.530083,0.001953,0,0.847749,0,0.683665,0.936243,0.040918,4
"127","KIAA2026",0.921948,0,0.028188,0.001157,0.082101,0.41217,0.977431,NA,0.745487,0.397181,0.397357,0.33381,NA,0.017464,4
"128","KIF16B",0.629893,0.203435,0.356626,0.132253,0.006126,0.174958,0.193854,0.755322,0.198515,0.004765,0,0.788502,NA,0.033667,4
"129","LAMA1",0.600542,0.499079,0.010674,1.2e-05,0.336021,0.9593,0.807724,0.029058,0.441605,0.3786,0.8142,0.893218,NA,0.015255,4
"130","LAMA2",0.037847,0.082428,0.007382,0.416128,0.527497,0.760955,0.860046,0.976572,0.008672,0.906351,0.419909,0.0564,0.806973,0.022058,4
"131","LOXHD1",0.178673,NA,NA,NA,NA,0.000609,0.011008,NA,NA,NA,0,0.488646,NA,0.028601,4
"132","LRP6",0.576001,0.017303,0.393732,0.844124,0.555293,0.103231,0.286225,0.649703,0,0.488396,0,0.566288,NA,0.038971,4
"133","LRRIQ1",0.159665,0,0.23797,0.116265,0.001725,0.447209,0.709263,0.725086,0.614483,0.857164,0,0.099386,NA,0.030475,4
"134","LRRK1",0.513882,0.719242,0.32085,0.967497,0.811025,0.529493,0.442271,0.592865,0,0.01934,0,0.086887,NA,0.03754,4
"135","LRRK2",0.012149,0.043884,0.651354,0.654077,0.202279,0.320881,0.806993,NA,0.422083,0.570818,0.022819,0.979086,0.936243,0.002839,4
"136","MAGEC1",0.562207,0.036161,0.674848,0.983928,0.340548,0.597359,0.627266,0.504537,0,0.652755,0,0.906148,1,0.038532,4
"137","MCF2",0.29753,0.034421,0.683255,0.606157,0.485087,0.787781,0.47864,0.54869,0,0.667134,0,0.162233,0.817488,0.047058,4
